,name,acronym,SJ0612,SJ0613,SJ0602,SJ0601,SJ0603,SJ0604,SJ0605,SJ0608,SJ0606,SJ0610,SJ0619,SJ0615,SJ0511,SJ0512,SJ0514,SJ0517,SJ0519,SJ0516,SJ0513,SJ0520,SJ0518,SJ0503,SJ0502
10,"left Frontal pole, layer 5",FRP5-L,694.3066184509292,102.2622151206795,43.05777478765453,0.0,570.5155159364225,904.2132705407452,5936.590698847868,409.048860482718,188.37776469598856,236.8177613320999,866.5377176015473,753.5110587839542,26281.389286014637,16986.29215372971,19397.527541838364,8380.119418047263,1614.666554537045,18089.64763266336,9537.29711546548,7911.86611723152,7454.37726011269,13880.750147170127,22659.153982003198
11,"left Frontal pole, layer 6a",FRP6a-L,713.0919220055711,89.13649025069638,17.827298050139277,0.0,267.40947075208913,285.2367688022284,71.3091922005571,481.33704735376045,0.0,249.58217270194987,1212.2562674094709,285.2367688022284,5009.470752089137,2816.713091922006,9733.704735376044,11801.6713091922,2941.5041782729804,13762.67409470752,5330.362116991643,14618.384401114206,8164.902506963788,15277.99442896936,6382.172701949861
12,"left Frontal pole, layer 6b",FRP6b-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9696.969696969696,3878.787878787879,3878.787878787879,3878.787878787879,5818.181818181818,3878.787878787879,3878.787878787879,9696.969696969696,1939.3939393939395,7757.575757575757,3878.787878787879
13,left Somatomotor areas,MO-L,474.28483099489387,480.5802855693822,1120.7544325595595,28.20690685972046,144.5501777622776,546.6416790263507,872.2883747430654,414.1918555111416,108.98494737393442,123.37455782990774,1104.6478799469076,522.5227296825318,7882.317923010984,6892.9504450125,9657.47259471606,9369.516867295955,4268.399960653409,10236.89969301994,9719.28251235649,9515.86574636523,4157.125757070569,5178.461062843404,5564.609529795462
14,left Primary motor area,MOp-L,249.4391857114153,350.02518503430946,1715.7751898511194,21.491229277395952,134.93673464332213,621.660230491232,555.0726512547102,416.2604490367757,96.53437413125394,89.66422706716835,998.1090580797168,559.3004340633782,8075.241322173015,7134.383489627345,10446.851320218766,10167.993812463705,4488.143766635197,11338.7373352307,9935.46575798696,10932.517870364509,4170.707740751037,4167.889218878592,5944.262628987287
15,"left Primary motor area, Layer 1",MOp1-L,613.8944398730458,1105.9127777124722,2308.1227224638533,118.86681556365347,331.0215116962502,836.5816386505231,2112.5191019160693,1002.0923944986482,234.72434465734105,257.2939931820854,1814.599741389444,473.96261901963095,705.677677207006,484.4951216645116,1882.308686963677,1888.327259903609,430.3279652051252,379.1700952157048,1764.946514635007,558.2226401786764,615.3990831080288,504.05548371929,364.1236628658752
16,"left Primary motor area, Layer 2/3",MOp2/3-L,271.6275287181051,274.33838229812613,484.1584493917522,23.31334078818068,110.60282606485715,550.3032767442648,547.0502524482397,526.9899359560842,66.14482735251262,81.86777811663448,1159.1609908169837,626.7493477008574,4850.801396089594,7907.559892921284,14036.799837348786,12428.721493680325,5163.633899224018,13260.411372030769,11332.994476635831,11433.296059096609,5081.22395039138,1372.2340822066349,1958.320626207177
17,"left Primary motor area, Layer 5",MOp5-L,123.45655433215238,208.4093318181384,704.680233390949,0.0,120.40069902690108,575.7231395093443,237.7455427485509,306.19670158617987,28.725039869362185,57.45007973872437,767.6308526791256,633.7843903091189,10282.341931109562,9079.557282962653,12690.355911647584,11176.485193426091,5051.3288195803925,14632.657543665307,13241.021037653867,14005.596035027742,4965.764871033357,8695.130685562039,12643.906911007763
18,"left Primary motor area, Layer 6a",MOp6a-L,200.2846928685523,268.437123080768,4031.4248769409646,0.0,96.66518162753046,657.1841484749373,232.97004205196188,132.82769561768575,135.60942746308228,56.33006986928034,696.128394310489,447.163394147497,12943.398276630192,7280.487672364146,7727.651066511643,10300.75302350346,4897.934346781993,10517.032674483044,8640.059111801715,11807.0608177857,3890.947418748438,4511.273620271871,6179.617294548458
19,"left Primary motor area, Layer 6b",MOp6b-L,181.7574340126963,203.1406615436017,3881.0557968593375,0.0,64.14968259271635,759.1045773471434,149.68259271633812,352.82325425993986,299.36518543267624,128.2993651854327,694.9548947544271,256.5987303708654,10574.006014032744,2865.35248914133,3068.493150684932,4736.384898095556,3848.980955562981,6329.435349148012,2523.2208486468426,7569.662545940529,1871.0324089542264,855.3291012362179,3378.5499498830604
